shipment_id,origin,destination,carrier,shipment_date,expected_delivery,actual_delivery,status,priority,delay_hours,reason,shipment_mode,cargo_type,weight_kg,distance_km,weather_condition,customs_status,port_congestion,carrier_performance_score,customer_impact,exception_type
SHP-1011,Mumbai,Singapore,Maersk,2026-01-15,2026-01-24,2026-01-24,Delayed,Normal,4,Carrier delay,Road,Pharmaceuticals,4734.77,3005,Rain,Cleared,Low,66.4,Medium,MINOR_DELAY
SHP-1012,Pune,Frankfurt,UPS,2026-03-21,2026-03-24,2026-03-26,Delayed,Normal,71,Mechanical issue,Sea,Machinery,1697.05,9938,Rain,Cleared,Medium,78.8,High,DELIVERY_DELAY
SHP-1013,Chennai,Dubai,DHL,2026-01-18,2026-01-27,2026-01-27,Delayed,High,12,Weather disruption,Air,Pharmaceuticals,1079.04,2467,Fog,Cleared,Medium,86.1,Medium,WEATHER_DISRUPTION
SHP-1014,Ahmedabad,Frankfurt,BlueDart,2026-01-25,2026-02-02,2026-02-02,Delivered,Low,0,On schedule,Rail,Pharmaceuticals,2061.4,14453,Clear,Cleared,Low,86.4,None,NONE
SHP-1015,Delhi,Dubai,BlueDart,2026-08-09,2026-08-19,2026-08-19,Delivered,Normal,0,On schedule,Road,Chemicals,2248.58,7212,Clear,Cleared,Low,62.9,None,NONE
SHP-1016,Ahmedabad,Frankfurt,DHL,2026-08-09,2026-08-19,2026-08-19,Delivered,High,0,On schedule,Rail,Chemicals,4181.78,1828,Clear,Cleared,Low,94.8,None,NONE
SHP-1017,Chennai,London,BlueDart,2026-02-24,2026-03-02,2026-03-03,Delayed,High,31,Carrier delay,Rail,Automotive,4633.33,13163,Extreme Heat,Cleared,Low,74.6,High,CARRIER_DELAY
SHP-1018,Pune,Amsterdam,Carrier-X,2026-02-18,2026-02-20,2026-02-24,Exception,Normal,98,Damaged cargo,Rail,Pharmaceuticals,260.21,8111,Storm,Cleared,Low,76.6,High,DAMAGED_CARGO
SHP-1019,Bengaluru,Dubai,UPS,2026-02-17,2026-02-22,2026-02-22,Delivered,Low,0,On schedule,Air,Chemicals,2024.84,14886,Clear,Cleared,Low,79.5,None,NONE
SHP-1020,Mumbai,Paris,DHL,2026-05-30,2026-06-05,2026-06-05,Delivered,Normal,0,On schedule,Rail,Machinery,1029.25,12034,Clear,Cleared,Low,68.5,None,NONE
SHP-1021,Hyderabad,Tokyo,FedEx,2026-03-22,2026-04-01,2026-04-01,Delayed,High,13,Port congestion,Road,Automotive,1073.64,4645,Clear,Cleared,High,60.7,High,PORT_CONGESTION
SHP-1022,Kolkata,Singapore,FedEx,2026-02-10,2026-02-16,2026-02-16,Delayed,Normal,11,Weather disruption,Road,Textiles,585.99,2053,Rain,Under Review,Low,86.9,Low,MINOR_DELAY
SHP-1023,Bengaluru,New York,Maersk,2026-03-29,2026-04-06,2026-04-06,Delayed,Normal,10,Weather disruption,Sea,Machinery,4148.45,1022,Clear,Under Review,Low,55.2,Medium,MINOR_DELAY
SHP-1024,Bengaluru,New York,FedEx,2026-06-30,2026-07-03,2026-07-03,Delivered,Normal,0,On schedule,Rail,Food,4725.8,11621,Clear,Cleared,Low,93.9,None,NONE
SHP-1025,Mumbai,Toronto,UPS,2026-02-02,2026-02-04,2026-02-04,Delivered,Low,0,On schedule,Sea,Automotive,4495.63,3741,Clear,Cleared,Low,84.3,None,NONE
SHP-1026,Delhi,Toronto,UPS,2026-07-11,2026-07-15,2026-07-16,Delayed,Normal,32,Port congestion,Rail,Food,3685.46,5742,Clear,Under Review,High,88.6,Medium,PORT_CONGESTION
SHP-1027,Pune,Frankfurt,Maersk,2026-06-29,2026-07-06,2026-07-08,Delayed,Normal,70,Carrier delay,Sea,Chemicals,1532.9,13330,Extreme Heat,Cleared,Low,92.5,Medium,CARRIER_DELAY
SHP-1028,Chennai,Dubai,Carrier-X,2026-03-26,2026-04-01,2026-04-01,Delivered,Normal,0,On schedule,Sea,Automotive,1762.22,8646,Clear,Cleared,Low,72.2,None,NONE
SHP-1029,Kolkata,Dubai,DHL,2026-05-29,2026-06-01,2026-06-01,Delivered,Critical,0,On schedule,Road,Pharmaceuticals,2986.89,5963,Clear,Cleared,Low,86.3,None,NONE
SHP-1030,Kolkata,Tokyo,UPS,2026-05-28,2026-06-05,2026-06-05,Delivered,Normal,0,On schedule,Air,Automotive,18.44,13513,Clear,Cleared,Low,78.2,None,NONE
SHP-1031,Chennai,Toronto,BlueDart,2026-03-26,2026-04-03,2026-04-03,Delayed,Normal,5,Weather disruption,Air,Machinery,3489.07,9383,Storm,Under Review,Medium,60.5,Medium,MINOR_DELAY
SHP-1032,Pune,Tokyo,Carrier-X,2026-05-26,2026-06-02,2026-06-02,Delayed,Normal,2,Documentation issue,Sea,Food,2330.29,7544,Fog,Cleared,Medium,84.1,Medium,MINOR_DELAY
SHP-1033,Ahmedabad,London,Carrier-X,2026-05-12,2026-05-14,2026-05-14,Delayed,High,4,Carrier delay,Air,Textiles,240.61,8084,Rain,Cleared,Low,81.3,Medium,MINOR_DELAY
SHP-1034,Delhi,Sydney,BlueDart,2026-06-28,2026-07-02,2026-07-02,Delivered,Normal,0,On schedule,Sea,Machinery,3283.73,390,Clear,Cleared,Low,93.4,None,NONE
SHP-1035,Delhi,Tokyo,FedEx,2026-06-28,2026-07-03,2026-07-03,Delivered,Normal,0,On schedule,Sea,Chemicals,4588.18,2288,Clear,Cleared,Low,74.6,None,NONE
SHP-1036,Ahmedabad,Amsterdam,UPS,2026-04-24,2026-04-30,2026-05-03,Delayed,Normal,88,Mechanical issue,Road,Chemicals,3761.37,14060,Extreme Heat,Cleared,High,82.4,High,DELIVERY_DELAY
SHP-1037,Ahmedabad,Frankfurt,Maersk,2026-07-02,2026-07-09,2026-07-09,Delivered,Normal,0,On schedule,Rail,Electronics,4466.2,1620,Clear,Cleared,Low,61.0,None,NONE
SHP-1038,Chennai,Tokyo,Carrier-X,2026-02-24,2026-03-06,2026-03-06,Delivered,Low,0,On schedule,Sea,Machinery,2334.96,1320,Clear,Cleared,Low,63.9,None,NONE
SHP-1039,Pune,Tokyo,UPS,2026-07-15,2026-07-22,2026-07-22,Delivered,Normal,0,On schedule,Air,Chemicals,1500.08,6689,Clear,Cleared,Low,91.7,None,NONE
SHP-1040,Pune,Amsterdam,Carrier-X,2026-02-26,2026-03-06,2026-03-06,Delivered,Normal,0,On schedule,Sea,Automotive,1687.29,11427,Clear,Cleared,Low,89.3,None,NONE
SHP-1041,Bengaluru,Sydney,FedEx,2026-06-01,2026-06-09,2026-06-09,Delivered,Normal,0,On schedule,Air,Automotive,687.14,7864,Clear,Cleared,Low,62.8,None,NONE
SHP-1042,Hyderabad,Tokyo,Maersk,2026-03-25,2026-04-03,2026-04-04,Delayed,Normal,45,Carrier delay,Sea,Automotive,106.72,9137,Clear,Cleared,Medium,57.2,High,CARRIER_DELAY
SHP-1043,Kolkata,Frankfurt,Carrier-X,2026-06-16,2026-06-21,2026-06-21,Delivered,Low,0,On schedule,Air,Chemicals,1004.81,633,Clear,Cleared,Low,81.7,None,NONE
SHP-1044,Chennai,London,BlueDart,2026-02-25,2026-03-04,2026-03-04,Delivered,Normal,0,On schedule,Air,Food,847.27,10249,Clear,Cleared,Low,96.4,None,NONE
SHP-1045,Delhi,London,Maersk,2026-01-07,2026-01-13,2026-01-13,Delayed,High,14,Documentation issue,Air,Food,4252.96,10137,Clear,Cleared,Low,89.6,Low,MINOR_DELAY
SHP-1046,Mumbai,Toronto,UPS,2026-04-05,2026-04-14,2026-04-14,Delayed,Low,2,Documentation issue,Rail,Machinery,3539.47,7435,Storm,Cleared,Medium,62.6,Medium,MINOR_DELAY
SHP-1047,Hyderabad,Paris,UPS,2026-04-22,2026-05-01,2026-05-01,Delayed,High,12,Carrier delay,Rail,Automotive,2853.55,11247,Rain,Under Review,Medium,71.3,Low,MINOR_DELAY
SHP-1048,Mumbai,Sydney,Maersk,2026-02-24,2026-03-02,2026-03-02,Delivered,Normal,0,On schedule,Sea,Automotive,4402.8,11788,Clear,Cleared,Low,92.8,None,NONE
SHP-1049,Mumbai,Amsterdam,FedEx,2026-07-04,2026-07-07,2026-07-07,Delayed,Normal,9,Weather disruption,Air,Pharmaceuticals,1478.24,6925,Clear,Under Review,Medium,84.7,Medium,MINOR_DELAY
SHP-1050,Hyderabad,Paris,Maersk,2026-05-16,2026-05-22,2026-05-25,Exception,Normal,94,Missorted shipment,Rail,Food,1540.05,4077,Extreme Heat,Under Review,Medium,60.2,High,MISROUTED_SHIPMENT
SHP-1051,Chennai,Toronto,DHL,2026-02-25,2026-03-07,2026-03-07,Delivered,High,0,On schedule,Sea,Pharmaceuticals,2987.99,1947,Clear,Cleared,Low,90.8,None,NONE
SHP-1052,Hyderabad,Frankfurt,Maersk,2026-01-04,2026-01-06,2026-01-06,Delivered,High,0,On schedule,Sea,Textiles,4871.73,9366,Clear,Cleared,Low,67.6,None,NONE
SHP-1053,Bengaluru,Sydney,DHL,2026-03-14,2026-03-18,2026-03-18,Delivered,Normal,0,On schedule,Air,Food,4827.83,4436,Clear,Cleared,Low,95.5,None,NONE
SHP-1054,Ahmedabad,Singapore,DHL,2026-01-19,2026-01-29,2026-01-30,Delayed,Normal,43,Carrier delay,Rail,Automotive,3824.57,10233,Clear,Cleared,Medium,80.6,High,DELIVERY_DELAY
SHP-1055,Chennai,Amsterdam,BlueDart,2026-03-18,2026-03-23,2026-03-25,Exception,High,63,Missorted shipment,Rail,Automotive,1330.58,1630,Rain,Cleared,Low,61.8,High,MISROUTED_SHIPMENT
SHP-1056,Bengaluru,Amsterdam,DHL,2026-04-15,2026-04-18,2026-04-18,Delayed,Normal,11,Carrier delay,Sea,Electronics,3440.05,4634,Extreme Heat,Under Review,Medium,88.9,Low,MINOR_DELAY
SHP-1057,Chennai,Tokyo,DHL,2026-02-08,2026-02-14,2026-02-14,Delayed,High,12,Weather disruption,Sea,Machinery,2201.38,7979,Extreme Heat,Cleared,Low,84.6,Medium,WEATHER_DISRUPTION
SHP-1058,Pune,New York,UPS,2026-01-21,2026-01-26,2026-01-28,Delayed,Normal,51,Carrier delay,Rail,Automotive,4809.94,13996,Clear,Cleared,Low,92.0,High,CARRIER_DELAY
SHP-1059,Mumbai,New York,UPS,2026-07-13,2026-07-22,2026-07-22,Delivered,Normal,0,On schedule,Air,Chemicals,4581.2,3273,Clear,Cleared,Low,97.9,None,NONE
SHP-1060,Pune,Sydney,DHL,2026-04-15,2026-04-25,2026-04-26,Delayed,Normal,44,Mechanical issue,Rail,Textiles,193.12,1742,Extreme Heat,Under Review,High,68.5,High,DELIVERY_DELAY
SHP-1061,Kolkata,Singapore,BlueDart,2026-05-19,2026-05-29,2026-05-29,Delivered,Normal,0,On schedule,Air,Machinery,1815.28,12693,Clear,Cleared,Low,76.4,None,NONE
SHP-1062,Ahmedabad,Dubai,FedEx,2026-02-03,2026-02-12,2026-02-12,Delivered,High,0,On schedule,Road,Food,615.92,10622,Clear,Cleared,Low,81.2,None,NONE
SHP-1063,Chennai,London,Maersk,2026-04-15,2026-04-24,2026-04-25,Exception,Low,38,Missorted shipment,Air,Food,4663.94,5081,Rain,Under Review,Low,76.9,High,MISROUTED_SHIPMENT
SHP-1064,Hyderabad,Tokyo,BlueDart,2026-04-27,2026-05-07,2026-05-07,Delivered,Normal,0,On schedule,Rail,Pharmaceuticals,3734.0,2536,Clear,Cleared,Low,92.2,None,NONE
SHP-1065,Hyderabad,Tokyo,Maersk,2026-01-01,2026-01-10,2026-01-10,Delivered,Normal,0,On schedule,Road,Chemicals,4327.65,7616,Clear,Cleared,Low,78.2,None,NONE
SHP-1066,Kolkata,Toronto,UPS,2026-03-24,2026-03-26,2026-03-28,Exception,High,54,Missorted shipment,Rail,Automotive,1597.7,8049,Extreme Heat,Under Review,Low,85.3,High,MISROUTED_SHIPMENT
SHP-1067,Pune,Tokyo,Carrier-X,2026-01-10,2026-01-13,2026-01-15,Exception,Normal,66,Damaged cargo,Sea,Automotive,2634.5,7786,Extreme Heat,Cleared,Low,55.7,High,DAMAGED_CARGO
SHP-1068,Bengaluru,Tokyo,Carrier-X,2026-05-01,2026-05-09,2026-05-09,Delivered,High,0,On schedule,Sea,Electronics,3252.68,14255,Clear,Cleared,Low,69.1,None,NONE
SHP-1069,Pune,Toronto,Carrier-X,2026-05-19,2026-05-25,2026-05-25,Delivered,Low,0,On schedule,Rail,Chemicals,4987.16,12535,Clear,Cleared,Low,58.9,None,NONE
SHP-1070,Delhi,Singapore,BlueDart,2026-03-18,2026-03-20,2026-03-20,Delivered,High,0,On schedule,Sea,Machinery,1473.91,6441,Clear,Cleared,Low,73.5,None,NONE
SHP-1071,Chennai,Amsterdam,BlueDart,2026-02-14,2026-02-23,2026-02-24,Delayed,Low,40,Carrier delay,Sea,Pharmaceuticals,3193.14,7829,Rain,Cleared,Low,66.0,High,CARRIER_DELAY
SHP-1072,Mumbai,Sydney,Maersk,2026-04-24,2026-04-30,2026-05-02,Exception,Critical,62,Missorted shipment,Sea,Electronics,1004.09,6602,Extreme Heat,Under Review,Medium,91.7,High,MISROUTED_SHIPMENT
SHP-1073,Delhi,Frankfurt,BlueDart,2026-03-17,2026-03-25,2026-03-25,Delivered,Critical,0,On schedule,Road,Food,1379.66,9572,Clear,Cleared,Low,92.2,None,NONE
SHP-1074,Mumbai,Paris,Carrier-X,2026-03-15,2026-03-22,2026-03-22,Delivered,High,0,On schedule,Rail,Chemicals,1102.83,3415,Clear,Cleared,Low,81.7,None,NONE
SHP-1075,Bengaluru,Singapore,Carrier-X,2026-07-21,2026-07-26,2026-07-26,Delayed,Normal,6,Carrier delay,Air,Textiles,669.48,9137,Rain,Under Review,Medium,92.7,Medium,MINOR_DELAY
SHP-1076,Kolkata,Amsterdam,UPS,2026-02-12,2026-02-21,2026-02-22,Delayed,Normal,38,Weather disruption,Road,Chemicals,4814.84,2606,Storm,Cleared,Medium,87.4,High,WEATHER_DISRUPTION
SHP-1077,Chennai,Tokyo,UPS,2026-07-22,2026-07-25,2026-07-25,Delivered,Normal,0,On schedule,Road,Electronics,2279.38,11323,Clear,Cleared,Low,87.2,None,NONE
SHP-1078,Hyderabad,Paris,BlueDart,2026-06-22,2026-07-02,2026-07-02,Delivered,Normal,0,On schedule,Road,Electronics,1646.75,10295,Clear,Cleared,Low,64.5,None,NONE
SHP-1079,Delhi,Sydney,Carrier-X,2026-04-15,2026-04-17,2026-04-17,Delivered,Normal,0,On schedule,Road,Machinery,1528.78,8371,Clear,Cleared,Low,60.0,None,NONE
SHP-1080,Chennai,Amsterdam,FedEx,2026-04-05,2026-04-13,2026-04-16,Delayed,High,93,Mechanical issue,Rail,Automotive,4695.87,4883,Extreme Heat,Under Review,Medium,56.4,Medium,DELIVERY_DELAY
SHP-1081,Kolkata,Frankfurt,BlueDart,2026-08-07,2026-08-13,2026-08-15,Exception,Normal,71,Missorted shipment,Rail,Pharmaceuticals,957.14,2301,Extreme Heat,Under Review,Low,95.8,High,MISROUTED_SHIPMENT
SHP-1082,Ahmedabad,Singapore,Carrier-X,2026-06-13,2026-06-20,2026-06-20,Delivered,Normal,0,On schedule,Sea,Machinery,1225.41,2363,Clear,Cleared,Low,88.8,None,NONE
SHP-1083,Chennai,Singapore,UPS,2026-02-25,2026-03-01,2026-03-01,Delivered,High,0,On schedule,Sea,Food,3945.33,10064,Clear,Cleared,Low,55.1,None,NONE
SHP-1084,Bengaluru,London,UPS,2026-02-14,2026-02-21,2026-02-21,Delayed,Normal,16,Weather disruption,Road,Chemicals,88.75,4647,Storm,Cleared,Medium,57.3,Medium,WEATHER_DISRUPTION
SHP-1085,Pune,Amsterdam,DHL,2026-04-25,2026-04-28,2026-04-28,Delivered,High,0,On schedule,Air,Automotive,2265.51,3929,Clear,Cleared,Low,95.7,None,NONE
SHP-1086,Mumbai,Amsterdam,Maersk,2026-01-08,2026-01-16,2026-01-16,Delivered,Low,0,On schedule,Rail,Machinery,2137.11,2068,Clear,Cleared,Low,76.1,None,NONE
SHP-1087,Ahmedabad,Singapore,DHL,2026-02-07,2026-02-17,2026-02-17,Delivered,Low,0,On schedule,Road,Food,3563.64,6540,Clear,Cleared,Low,97.8,None,NONE
SHP-1088,Hyderabad,Sydney,UPS,2026-07-23,2026-07-28,2026-07-30,Delayed,High,49,Weather disruption,Rail,Electronics,2074.93,13856,Extreme Heat,Cleared,Medium,74.5,Medium,WEATHER_DISRUPTION
SHP-1089,Pune,Singapore,Maersk,2026-06-20,2026-06-23,2026-06-26,Delayed,Normal,72,Port congestion,Rail,Textiles,2165.06,12499,Clear,Cleared,High,86.8,Medium,PORT_CONGESTION
SHP-1090,Bengaluru,Amsterdam,DHL,2026-02-01,2026-02-07,2026-02-09,Delayed,Normal,64,Carrier delay,Road,Machinery,1764.71,9768,Fog,Cleared,Medium,76.8,Medium,CARRIER_DELAY
SHP-1091,Bengaluru,Sydney,FedEx,2026-08-05,2026-08-11,2026-08-11,Delivered,Normal,0,On schedule,Air,Textiles,2874.76,13525,Clear,Cleared,Low,73.5,None,NONE
SHP-1092,Mumbai,Paris,Carrier-X,2026-02-16,2026-02-20,2026-02-22,Delayed,Normal,70,Customs clearance,Road,Electronics,4350.61,9578,Clear,Pending,Medium,83.3,High,CUSTOMS_DELAY
SHP-1093,Delhi,London,Carrier-X,2026-07-11,2026-07-20,2026-07-20,Delivered,Normal,0,On schedule,Air,Electronics,1711.07,6362,Clear,Cleared,Low,68.4,None,NONE
SHP-1094,Kolkata,Paris,UPS,2026-02-09,2026-02-18,2026-02-18,Delayed,Normal,23,Carrier delay,Air,Electronics,2076.78,3831,Extreme Heat,Under Review,Medium,87.5,Medium,MINOR_DELAY
SHP-1095,Delhi,Toronto,BlueDart,2026-06-23,2026-06-29,2026-06-29,Delivered,High,0,On schedule,Air,Textiles,236.63,6775,Clear,Cleared,Low,97.3,None,NONE
SHP-1096,Mumbai,Dubai,FedEx,2026-07-16,2026-07-23,2026-07-23,Delivered,Normal,0,On schedule,Road,Pharmaceuticals,608.72,8449,Clear,Cleared,Low,87.1,None,NONE
SHP-1097,Bengaluru,London,BlueDart,2026-05-24,2026-06-01,2026-06-01,Delayed,High,16,Customs clearance,Sea,Food,103.52,1575,Clear,Pending,High,92.1,High,CUSTOMS_DELAY
SHP-1098,Pune,Paris,BlueDart,2026-01-30,2026-02-02,2026-02-03,Exception,Normal,45,Damaged cargo,Rail,Textiles,2189.19,2034,Storm,Cleared,Medium,65.5,High,DAMAGED_CARGO
SHP-1099,Pune,Amsterdam,DHL,2026-03-21,2026-03-25,2026-03-25,Delivered,High,0,On schedule,Rail,Chemicals,391.13,10674,Clear,Cleared,Low,59.9,None,NONE
SHP-1100,Chennai,Toronto,Maersk,2026-01-27,2026-01-31,2026-01-31,Delivered,Normal,0,On schedule,Sea,Pharmaceuticals,3803.47,11039,Clear,Cleared,Low,58.2,None,NONE
SHP-1101,Ahmedabad,Sydney,UPS,2026-05-25,2026-05-28,2026-05-30,Exception,Normal,65,Missorted shipment,Rail,Machinery,2349.92,10644,Extreme Heat,Under Review,Low,68.0,High,MISROUTED_SHIPMENT
SHP-1102,Hyderabad,Paris,DHL,2026-01-19,2026-01-21,2026-01-21,Delivered,Normal,0,On schedule,Road,Food,1850.0,5003,Clear,Cleared,Low,58.3,None,NONE
SHP-1103,Delhi,Paris,UPS,2026-05-29,2026-06-03,2026-06-05,Delayed,Normal,69,Customs clearance,Rail,Automotive,1614.42,8092,Fog,Pending,Medium,76.6,Medium,CUSTOMS_DELAY
SHP-1104,Mumbai,Sydney,DHL,2026-01-22,2026-01-27,2026-01-27,Delivered,Normal,0,On schedule,Road,Machinery,3541.03,7499,Clear,Cleared,Low,77.5,None,NONE
SHP-1105,Bengaluru,Toronto,Maersk,2026-04-15,2026-04-25,2026-04-26,Delayed,High,30,Documentation issue,Road,Automotive,3395.11,4955,Clear,Cleared,High,65.8,High,DELIVERY_DELAY
SHP-1106,Bengaluru,Toronto,DHL,2026-03-21,2026-03-25,2026-03-28,Delayed,Critical,74,Carrier delay,Sea,Textiles,3353.88,13881,Storm,Under Review,High,95.7,Medium,DELIVERY_DELAY
SHP-1107,Delhi,Tokyo,UPS,2026-04-03,2026-04-07,2026-04-09,Delayed,Normal,55,Port congestion,Road,Electronics,783.18,5146,Rain,Cleared,High,91.3,High,PORT_CONGESTION
SHP-1108,Delhi,Amsterdam,UPS,2026-03-28,2026-04-01,2026-04-01,Delayed,High,21,Documentation issue,Air,Machinery,3608.7,1015,Fog,Cleared,Low,72.7,Low,MINOR_DELAY
SHP-1109,Chennai,Sydney,UPS,2026-07-11,2026-07-16,2026-07-16,Delivered,High,0,On schedule,Road,Chemicals,1554.24,13548,Clear,Cleared,Low,88.7,None,NONE
SHP-1110,Chennai,Toronto,Carrier-X,2026-07-16,2026-07-26,2026-07-26,Delivered,Normal,0,On schedule,Rail,Automotive,2099.12,2955,Clear,Cleared,Low,90.1,None,NONE
SHP-1111,Bengaluru,New York,DHL,2026-04-06,2026-04-16,2026-04-16,Delivered,Normal,0,On schedule,Rail,Chemicals,4257.32,4970,Clear,Cleared,Low,58.6,None,NONE
SHP-1112,Bengaluru,New York,BlueDart,2026-04-22,2026-04-24,2026-04-26,Delayed,Low,67,Carrier delay,Sea,Chemicals,1988.31,6426,Extreme Heat,Cleared,Low,65.1,High,CARRIER_DELAY
SHP-1113,Delhi,Toronto,FedEx,2026-01-26,2026-02-04,2026-02-04,Delayed,High,6,Carrier delay,Air,Textiles,2248.52,386,Rain,Under Review,Medium,94.0,Low,MINOR_DELAY
SHP-1114,Mumbai,New York,FedEx,2026-07-06,2026-07-12,2026-07-12,Delivered,Normal,0,On schedule,Sea,Food,1195.82,2296,Clear,Cleared,Low,57.1,None,NONE
SHP-1115,Pune,Paris,BlueDart,2026-08-03,2026-08-05,2026-08-05,Delayed,High,2,Weather disruption,Air,Electronics,3077.9,4241,Extreme Heat,Cleared,Medium,79.5,Low,MINOR_DELAY
SHP-1116,Bengaluru,Singapore,UPS,2026-05-15,2026-05-17,2026-05-18,Delayed,Normal,44,Customs clearance,Road,Electronics,3182.0,6416,Extreme Heat,Pending,Medium,65.9,Medium,CUSTOMS_DELAY
SHP-1117,Mumbai,Toronto,DHL,2026-07-07,2026-07-14,2026-07-14,Delivered,High,0,On schedule,Road,Pharmaceuticals,675.71,6072,Clear,Cleared,Low,78.5,None,NONE
SHP-1118,Bengaluru,Sydney,Carrier-X,2026-02-16,2026-02-25,2026-02-25,Delivered,High,0,On schedule,Rail,Machinery,194.55,3602,Clear,Cleared,Low,56.9,None,NONE
SHP-1119,Chennai,Dubai,Maersk,2026-04-12,2026-04-19,2026-04-19,Delayed,Critical,10,Carrier delay,Road,Food,1373.35,13396,Clear,Under Review,Medium,70.8,Low,MINOR_DELAY
SHP-1120,Pune,Sydney,BlueDart,2026-05-08,2026-05-18,2026-05-18,Delivered,High,0,On schedule,Road,Pharmaceuticals,1340.94,1653,Clear,Cleared,Low,86.3,None,NONE
SHP-1121,Delhi,Tokyo,UPS,2026-03-17,2026-03-23,2026-03-23,Delivered,Normal,0,On schedule,Sea,Food,1539.41,10173,Clear,Cleared,Low,85.9,None,NONE
SHP-1122,Bengaluru,Sydney,Maersk,2026-07-06,2026-07-14,2026-07-14,Delivered,High,0,On schedule,Rail,Electronics,1380.03,13267,Clear,Cleared,Low,95.8,None,NONE
SHP-1123,Delhi,Tokyo,Maersk,2026-02-06,2026-02-13,2026-02-16,Delayed,High,80,Carrier delay,Sea,Electronics,1920.44,9593,Storm,Cleared,Medium,56.4,Medium,DELIVERY_DELAY
SHP-1124,Bengaluru,Sydney,Maersk,2026-07-15,2026-07-22,2026-07-22,Delivered,Low,0,On schedule,Road,Automotive,1996.19,10942,Clear,Cleared,Low,67.0,None,NONE
SHP-1125,Delhi,Dubai,Carrier-X,2026-05-13,2026-05-18,2026-05-18,Delayed,Normal,10,Documentation issue,Sea,Automotive,621.96,14272,Extreme Heat,Cleared,Medium,58.2,Medium,MINOR_DELAY
SHP-1126,Bengaluru,Sydney,DHL,2026-03-30,2026-04-04,2026-04-04,Delayed,High,11,Documentation issue,Road,Machinery,615.6,3592,Fog,Cleared,Medium,89.1,Low,MINOR_DELAY
SHP-1127,Chennai,Sydney,DHL,2026-05-27,2026-05-30,2026-05-31,Delayed,Normal,47,Customs clearance,Road,Food,1553.36,12046,Clear,Pending,High,85.9,Medium,CUSTOMS_DELAY
SHP-1128,Pune,Tokyo,UPS,2026-03-23,2026-04-02,2026-04-02,Delivered,Normal,0,On schedule,Air,Pharmaceuticals,1729.13,14684,Clear,Cleared,Low,90.6,None,NONE
SHP-1129,Bengaluru,London,BlueDart,2026-02-01,2026-02-05,2026-02-05,Delivered,Normal,0,On schedule,Air,Chemicals,1620.08,11921,Clear,Cleared,Low,64.7,None,NONE
SHP-1130,Hyderabad,Singapore,Maersk,2026-05-22,2026-05-29,2026-05-29,Delayed,Normal,21,Weather disruption,Sea,Machinery,4214.22,9534,Rain,Cleared,Low,56.8,Low,MINOR_DELAY
SHP-1131,Mumbai,Singapore,DHL,2026-02-23,2026-02-25,2026-02-25,Delivered,High,0,On schedule,Road,Machinery,2495.21,10575,Clear,Cleared,Low,78.5,None,NONE
SHP-1132,Hyderabad,Sydney,FedEx,2026-04-27,2026-05-06,2026-05-06,Delivered,Low,0,On schedule,Rail,Textiles,2083.95,7909,Clear,Cleared,Low,63.8,None,NONE
